pngcrush,1.8.13 1,https://github.com/Himmalerin/kiss-compression,kiss-compression/pngcrush,
pngquant,2.12.6 1,https://github.com/Himmalerin/kiss-compression,kiss-compression/pngquant,
libimagequant,2.12.6 1,https://github.com/Himmalerin/kiss-compression,kiss-compression/libimagequant,
mukta,2.538 1,https://github.com/Himmalerin/kiss-fonts,kiss-fonts/mukta,
blobmoji,2019-06-14-Emoji-12 1,https://github.com/Himmalerin/kiss-fonts,kiss-fonts/blobmoji,
caladea,20200113 1,https://github.com/Himmalerin/kiss-fonts,kiss-fonts/caladea,
carlito,20130920 1,https://github.com/Himmalerin/kiss-fonts,kiss-fonts/carlito,
ttf-jetbrains-mono,2.221 1,https://github.com/Himmalerin/kiss-fonts,kiss-fonts/ttf-jetbrains-mono,
source-serif-pro,3.001R 2,https://github.com/Himmalerin/kiss-fonts,kiss-fonts/source-serif-pro,
cantarell-fonts,0.301 1,https://github.com/Himmalerin/kiss-fonts,kiss-fonts/cantarell-fonts,
fonts-tlwg,0.7.2 1,https://github.com/Himmalerin/kiss-fonts,kiss-fonts/fonts-tlwg,
source-serif,4.004R 1,https://github.com/Himmalerin/kiss-fonts,kiss-fonts/source-serif,
source-sans-pro,3.028R 1,https://github.com/Himmalerin/kiss-fonts,kiss-fonts/source-sans-pro,
stixfonts,2.11 2,https://github.com/Himmalerin/kiss-fonts,kiss-fonts/stixfonts,
twemoji-color-font,13.0.1 1,https://github.com/Himmalerin/kiss-fonts,kiss-fonts/twemoji-color-font,
ttf-bitstream-vera,1.10 1,https://github.com/Himmalerin/kiss-fonts,kiss-fonts/ttf-bitstream-vera,
source-code-pro,2.038R 1,https://github.com/Himmalerin/kiss-fonts,kiss-fonts/source-code-pro,
source-han-sans,2.001R 1,https://github.com/Himmalerin/kiss-fonts,kiss-fonts/source-han-sans,
noto-fonts,2020.06.11 1,https://github.com/Himmalerin/kiss-fonts,kiss-fonts/noto-fonts,
amiri,0.113 1,https://github.com/Himmalerin/kiss-fonts,kiss-fonts/amiri,
adwaita-icon-theme,3.36.1 1,https://github.com/Himmalerin/kiss-himmalerin,extra/adwaita-icon-theme,
gptfdisk,1.0.5 1,https://github.com/Himmalerin/kiss-himmalerin,extra/gptfdisk,
mtr,0.93 1,https://github.com/Himmalerin/kiss-himmalerin,extra/mtr,
linux-himmalerin,5.9.11 1,https://github.com/Himmalerin/kiss-himmalerin,extra/linux-himmalerin,
wf-recorder,0.2.1 1,https://github.com/Himmalerin/kiss-himmalerin,extra/wf-recorder,
linux-firmware-himmalerin,20200619 1,https://github.com/Himmalerin/kiss-himmalerin,extra/linux-firmware-himmalerin,
meta-himmalerin,2020.07.08 2,https://github.com/Himmalerin/kiss-himmalerin,extra/meta-himmalerin,
