wayland-protocols,1.20 1,https://github.com/Himmalerin/kiss-wayland,kiss-wayland/wayland-protocols,master," "
tllist,1.0.5 1,https://github.com/Himmalerin/kiss-wayland,kiss-wayland/tllist,master," "
gtk+3,3.24.26 1,https://github.com/Himmalerin/kiss-wayland,kiss-wayland/gtk+3,master," "
wlsunset-git,git 1,https://github.com/Himmalerin/kiss-wayland,kiss-wayland/wlsunset-git,master," "
foot,1.6.2 1,https://github.com/Himmalerin/kiss-wayland,kiss-wayland/foot,master," "
font-util,1.3.2 1,https://github.com/Himmalerin/kiss-wayland,kiss-wayland/font-util,master," "
slurp,1.3.1 1,https://github.com/Himmalerin/kiss-wayland,kiss-wayland/slurp,master," "
sway,1.6 1,https://github.com/Himmalerin/kiss-wayland,kiss-wayland/sway,master," "
libvncserver,0.9.13 1,https://github.com/Himmalerin/kiss-wayland,kiss-wayland/libvncserver,master," "
swaylock,1.5 1,https://github.com/Himmalerin/kiss-wayland,kiss-wayland/swaylock,master," "
wayland,1.19.0 1,https://github.com/Himmalerin/kiss-wayland,kiss-wayland/wayland,master," "
wl-clipboard,2.0.0 1,https://github.com/Himmalerin/kiss-wayland,kiss-wayland/wl-clipboard,master," "
swaybg,1.0 1,https://github.com/Himmalerin/kiss-wayland,kiss-wayland/swaybg,master," "
fcft,2.3.2 1,https://github.com/Himmalerin/kiss-wayland,kiss-wayland/fcft,master," "
wayvnc,0.3.0 1,https://github.com/Himmalerin/kiss-wayland,kiss-wayland/wayvnc,master," "
gammastep,2.0.7 1,https://github.com/Himmalerin/kiss-wayland,kiss-wayland/gammastep,master," "
wlroots,0.13.0 1,https://github.com/Himmalerin/kiss-wayland,kiss-wayland/wlroots,master," "
grim,1.3.1 1,https://github.com/Himmalerin/kiss-wayland,kiss-wayland/grim,master," "
zig,0.8.0 1,https://github.com/Ominitay/kiss-zig,zig/zig,master," "
llvm,12.0.0 2,https://github.com/Ominitay/kiss-zig,zig/llvm,master," "
zig-master,git 1,https://github.com/Ominitay/kiss-zig,zig/zig-master,master," "
ffmpeg,4.2.2 2,https://github.com/SparklingPower/my-kiss-repo,ffmpeg,master," "
sowm,1.6 1,https://github.com/SparklingPower/my-kiss-repo,sowm,master," "
openssh,8.2p1 1,https://github.com/SparklingPower/my-kiss-repo,openssh,master," "
libedit,3.1 1,https://github.com/SparklingPower/my-kiss-repo,libedit,master," "
st,0.8.2 3,https://github.com/SparklingPower/my-kiss-repo,st,master," "
mpv,0.32.0 1,https://github.com/SparklingPower/my-kiss-repo,mpv,master," "
xf86-input-wacom,0.39.0 1,https://github.com/SparklingPower/my-kiss-repo,xf86-input-wacom,master," "
amfora,1.8.0 1,https://github.com/aabacchus/kiss-repo,amfora,main,"a fancy terminal browser for the gemini protocol"
nilfs-utils,2.2.8 1,https://github.com/aabacchus/kiss-repo,nilfs-utils,main," "
newsboat,2.23 1,https://github.com/aabacchus/kiss-repo,newsboat,main," "
b3sum,git 1,https://github.com/aabacchus/kiss-repo,b3sum,main," "
fantasque-sans-mono,1.8.0 1,https://github.com/aabacchus/kiss-repo,fantasque-sans-mono,main," "
gpgme,1.15.1 1,https://github.com/aabacchus/kiss-repo,gpgme,main," "
lld,12.0.1 1,https://github.com/aabacchus/kiss-repo,lld,main," "
gdbm,1.19 1,https://github.com/aabacchus/kiss-repo,gdbm,main," "
netbsd-curses,0.3.1 1,https://github.com/aabacchus/kiss-repo,netbsd-curses,main," "
gtk+2,2.24.33 1,https://github.com/aabacchus/kiss-repo,gtk+2,main," "
weston,git 1,https://github.com/aabacchus/kiss-repo,weston,main," "
gomuks,git 1,https://github.com/aabacchus/kiss-repo,gomuks,main," "
abcm2ps,8.14.12 1,https://github.com/aabacchus/kiss-repo,abcm2ps,main," "
picom-ibhagwan,7.5 1,https://github.com/aabacchus/kiss-repo,picom-ibhagwan,main," "
brightnessctl,0.5.1 1,https://github.com/aabacchus/kiss-repo,brightnessctl,main," "
claws-mail,3.17.8 1,https://github.com/aabacchus/kiss-repo,claws-mail,main," "
stfl,0.24 1,https://github.com/aabacchus/kiss-repo,stfl,main," "
jonaburg-picom,8 1,https://github.com/aabacchus/kiss-repo,jonaburg-picom,main," "
gpg-signatures,git 1,https://github.com/aabacchus/kiss-repo,gpg-signatures,main," "
snownews,git 1,https://github.com/aabacchus/kiss-repo,snownews,main," "
colorpicker,git 1,https://github.com/aabacchus/kiss-repo,colorpicker,main," "
kiss,5.5.25 1,https://github.com/aabacchus/kiss-repo,forks/kiss,main," "
neomutt,20210205 1,https://github.com/aabacchus/kiss-repo,neomutt,main," "
thinkfan,1.2.2 1,https://github.com/aabacchus/kiss-repo,thinkfan,main," "
xmenu,4.5.5 1,https://github.com/aabacchus/kiss-repo,xmenu,main," "
glm,0.9.9.8 1,https://github.com/aabacchus/kiss-repo,glm,main," "
links2,2.23.0 1,https://github.com/aabacchus/kiss-repo,links2,main," "
libxdg-basedir,1.2.3 1,https://github.com/aabacchus/kiss-repo,libxdg-basedir,main," "
libetpan,1.9.4 1,https://github.com/aabacchus/kiss-repo,libetpan,main," "
log4cxx,0.11.0 1,https://github.com/aabacchus/miktex-kiss-repo,log4cxx,main," "
apr-util,1.6.1 1,https://github.com/aabacchus/miktex-kiss-repo,apr-util,main," "
libmspack,0.10.1 1,https://github.com/aabacchus/miktex-kiss-repo,libmspack,main," "
potrace,1.16 1,https://github.com/aabacchus/miktex-kiss-repo,potrace,main," "
hunspell,1.7.0 1,https://github.com/aabacchus/miktex-kiss-repo,hunspell,main," "
gettext, 0.21 1,https://github.com/aabacchus/miktex-kiss-repo,gettext,main," "
apr,1.7.0 1,https://github.com/aabacchus/miktex-kiss-repo,apr,main," "
gettext-tiny,0.3.2 1,https://github.com/aabacchus/miktex-kiss-repo,gettext-tiny,main," "
gd,2.3.2 1,https://github.com/aabacchus/miktex-kiss-repo,gd,main," "
miktex,21.7 1,https://github.com/aabacchus/miktex-kiss-repo,miktex,main," "
uriparser,0.9.5 1,https://github.com/aabacchus/miktex-kiss-repo,uriparser,main," "
graphite,1.3.14 1,https://github.com/aabacchus/miktex-kiss-repo,graphite,main," "
zziplib,0.13.72 1,https://github.com/aabacchus/miktex-kiss-repo,zziplib,main," "
graphite-harfbuzz,2.8.2 1,https://github.com/aabacchus/miktex-kiss-repo,graphite-harfbuzz,main," "
lapack,3.9.0 1,https://github.com/aosync/kiss-octave,lapack,master," "
qt5-tools,5.15.0 2,https://github.com/aosync/kiss-octave,qt5-tools,master," "
glpk,4.65 2,https://github.com/aosync/kiss-octave,glpk,master," "
