libpciaccess,0.16 1,https://github.com/kisslinux/repo,wayland/libpciaccess,master,
xkeyboard-config,2.33 1,https://github.com/kisslinux/repo,wayland/xkeyboard-config,master,
libxkbcommon,1.3.0 1,https://github.com/kisslinux/repo,wayland/libxkbcommon,master,
sway-no-seat,6ffa4b1f7000cd90d63213820039ee432803e66a 1,https://github.com/kisslinux/repo,wayland/sway-no-seat,master,
libseat,0.5.0 2,https://github.com/kisslinux/repo,wayland/libseat,master,
foot,8bdd019227225c94fa6e282d941ffbc09fd7a81c 1,https://github.com/kisslinux/repo,wayland/foot,master,
grim,1.3.2 1,https://github.com/kisslinux/repo,wayland/grim,master,
libdrm,2.4.107 1,https://github.com/kisslinux/repo,wayland/libdrm,master,
wayland-protocols,1.21 1,https://github.com/kisslinux/repo,wayland/wayland-protocols,master,
libinput,1.18.0 2,https://github.com/kisslinux/repo,wayland/libinput,master,
sway-tiny,8ac2be771a86c0d6579604c3ede628e532ec6c09 1,https://github.com/kisslinux/repo,wayland/sway-tiny,master,
wlroots,0.14.1 1,https://github.com/kisslinux/repo,wayland/wlroots,master,
foot-pgo,symlink,https://github.com/kisslinux/repo,wayland/foot-pgo,master,
wayland,1.19.0 1,https://github.com/kisslinux/repo,wayland/wayland,master,
wbg,1.0.2 1,https://github.com/kisslinux/repo,wayland/wbg,master,
sway,1.6.1 2,https://github.com/kisslinux/repo,wayland/sway,master,
wl-clipboard,d2c32f2b4d469f53070e8c4052dea6f412de3916 1,https://github.com/kisslinux/repo,wayland/wl-clipboard,master,
